date,Berlin Max_Temperature,Paris Max_Temperature,Copenhagen Max_Temperature,Stockholm Max_Temperature,Metropolitan City of Rome Max_Temperature
1900-01,8.4,12.7,6.2,5,
1900-02,17.4,16.9,6.2,4.5,
1900-03,15,16.9,7.6,5.5,
1900-04,24.1,25.8,19.2,14,
1900-05,29.4,28.9,23.4,21,
1900-06,28.8,31.9,27.7,29,
1900-07,34.9,38.6,29,29,
1900-08,32.3,32.6,28.2,26,
1900-09,27.4,28.8,22.4,20.5,
1900-10,24.5,26.1,17.4,17,
1900-11,13.5,18.8,9.4,8.5,
1900-12,9.2,14.9,9.2,8,
1901-01,8,10.9,7,6.5,
1901-02,8.5,12.4,4,1.5,
1901-03,14,13.8,6.4,8,
1901-04,23,24.9,17.4,18,
1901-05,28.6,29.5,22.2,25.5,
1901-06,30.6,33.9,25,27,
1901-07,31.7,32,30.8,32,
1901-08,30.4,31.2,29.4,27,
1901-09,27.2,30,22.4,22,
1901-10,23.7,23.8,18.6,16.5,
1901-11,10.4,14,10.8,8,
1901-12,11.5,12.7,8.8,4,
1902-01,11.3,13,8,6,
1902-02,11.9,14,3.6,2.5,
1902-03,16.6,17.1,9.4,6,
1902-04,21.1,22,14.4,12.5,
1902-05,32.1,27,25.7,23,
1902-06,32.5,30,27.1,25.5,
1902-07,28.2,33.9,23.7,23,
1902-08,27.3,30,19.5,20,
1902-09,29.2,28.2,23.3,20,
1902-10,18,20.6,14.9,12,
1902-11,13.4,19,12.1,14,
1902-12,8.8,13.2,6.7,6,
1903-01,9.8,13.1,6.9,6,
1903-02,15.2,15.8,9.1,9,
1903-03,23.5,25.3,15.3,13.5,
1903-04,19.8,17.9,15.7,15,
1903-05,29.1,28.7,27.5,25,
1903-06,29.3,33.5,28.1,26.2,
1903-07,33.1,31.7,24.5,26,
1903-08,27.6,30.4,22.9,21,
1903-09,32.2,32.3,25.1,19,
1903-10,25.5,21.5,17.9,16,
1903-11,10.8,12.8,10.4,10,
1903-12,4.6,12,3.9,6,
1904-01,9,11.4,4.9,5.5,
1904-02,8.9,11.8,4.3,3,
1904-03,16.6,14.9,9.7,6.5,
1904-04,25.9,23,15.9,14.5,
